job_id,title,company_name,location,location_type,employment_type,industry,job_function,description,education_requirements,experience_level,salary_min,salary_max,salary_currency,is_remote,skills_required,skills_keywords,job_tags,benefits,external_url,application_email,application_method,job_type_detail,priority,job_posted_at,expires_at
11,Software Engineer,Indian Multinational,Gurgaon,Hybrid,Full-time,Finance,Support,Develop and maintain software applications using modern technologies. Collaborate with cross-functional teams to deliver high-quality solutions,BBA,1-2 years,356447,510021,INR,false,AWS;PowerBI;Digital Marketing,AWS;PowerBI;Digital Marketing,Mid-Level,PF;Training,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
12,Backend Developer,Indian Multinational,Pune,Onsite,Contract,Retail,Operations,Build scalable backend infrastructure and optimize database performance. Implement microservices architecture and API development,BBA,0-1 years,607877,1494263,INR,false,TensorFlow;PowerBI;JavaScript,TensorFlow;PowerBI;JavaScript,Leadership,PF;Health Insurance;Training,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
13,HR Executive,SME,Hyderabad,Remote,Part-time,HR,Cloud Computing,Manage human resources operations and employee relations. Handle recruitment processes and maintain HR policies,B.Com,5-8 years,477878,1524666,INR,true,Kubernetes;Linux;Excel,Kubernetes;Linux;Excel,Fresher Friendly,Bonuses;PF,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
14,Data Analyst,MNC,Noida,Remote,Full-time,HR,Human Resources,Analyze HR data and provide insights for strategic decision making. Create reports and dashboards for HR metrics and KPIs,B.Tech in CS,2-3 years,505034,986259,INR,true,DevOps;SEO;Excel,DevOps;SEO;Excel,Mid-Level,Bonuses;PF;Work from Home,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
15,Frontend Developer,Indian Multinational,Pune,Onsite,Part-time,Marketing,Human Resources,Create responsive web applications and user interfaces. Implement modern frontend frameworks and optimize performance,MCA,8-12 years,990150,1641067,INR,false,React;Azure;Excel,React;Azure;Excel,Mid-Level,Training;Work from Home;Health Insurance,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
16,Product Manager,MNC,Bengaluru,Onsite,Contract,Finance,Cloud Computing,Lead product development and strategy initiatives. Coordinate with engineering teams to deliver innovative products,B.Com,0-1 years,508145,906479,INR,false,Linux;PowerBI;TensorFlow,Linux;PowerBI;TensorFlow,Fresher Friendly,Health Insurance,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
17,Operations Manager,Indian Multinational,Mumbai,Remote,Part-time,Marketing,Strategy,Oversee daily operations and process optimization. Manage teams and ensure operational efficiency across departments,M.Tech in CS,5-8 years,518277,986344,INR,true,Azure;Linux;Python,Azure;Linux;Python,Leadership,Health Insurance;Bonuses,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
18,Content Writer,Startup,Gurgaon,Hybrid,Full-time,HR,Human Resources,Create engaging content for various digital platforms. Develop content strategies and manage editorial calendars,MBA in Marketing,3-5 years,934571,1226282,INR,false,Excel;Java;SQL,Excel;Java;SQL,Leadership,Work from Home;Training;PF,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
19,DevOps Engineer,SME,Chennai,Onsite,Part-time,Finance,Development,Implement CI/CD pipelines and automate deployment processes. Manage cloud infrastructure and monitoring systems,B.Com,1-2 years,204457,523195,INR,false,Kubernetes;Java;Recruitment,Kubernetes;Java;Recruitment,Senior,Training;Work from Home,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
20,Frontend Developer,SME,Delhi,Onsite,Part-time,IT,Support,Build interactive web applications using modern JavaScript frameworks. Collaborate with designers to implement pixel-perfect interfaces,MCA,5-8 years,296107,1279436,INR,false,Java;Docker;React,Java;Docker;React,Senior,Training;Health Insurance;PF,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
21,UI/UX Designer,Indian Multinational,Bengaluru,Remote,Contract,Manufacturing,Development,Design user-centric interfaces for manufacturing applications. Create wireframes and prototypes for industrial software,MBA in Marketing,5-8 years,997653,1193657,INR,true,PowerBI;Azure;Java,PowerBI;Azure;Java,Senior,Health Insurance;Training,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
22,Software Engineer,MNC,Kolkata,Hybrid,Contract,Healthcare,Human Resources,Develop healthcare software solutions and maintain existing systems. Ensure compliance with healthcare regulations and data security,M.Tech in CS,5-8 years,845755,1636985,INR,false,Kubernetes;Java;TensorFlow,Kubernetes;Java;TensorFlow,Junior,Health Insurance,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
23,UI/UX Designer,Indian Multinational,Noida,Hybrid,Full-time,Manufacturing,Human Resources,Design interfaces for manufacturing and HR systems. Focus on user experience optimization for industrial applications,BBA,1-2 years,526443,1078019,INR,false,Content Creation;Python;SAP,Content Creation;Python;SAP,Leadership,Training;PF;Bonuses,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
24,Data Analyst,MNC,Mumbai,Onsite,Contract,Marketing,Development,Analyze marketing data and campaign performance metrics. Create data visualizations and predictive models for marketing optimization,M.Tech in CS,3-5 years,588187,916845,INR,false,Excel;Linux;React,Excel;Linux;React,Senior,Training;Health Insurance;Work from Home,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
25,Marketing Manager,Indian Multinational,Hyderabad,Hybrid,Contract,HR,Human Resources,Lead marketing initiatives and brand development strategies. Manage marketing campaigns and analyze market trends,B.Sc in IT,0-1 years,417068,1440589,INR,false,React;PowerBI;Java,React;PowerBI;Java,Mid-Level,Health Insurance,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
26,Software Engineer,SME,Hyderabad,Hybrid,Part-time,Retail,Development,Develop retail software solutions and e-commerce platforms. Implement payment gateways and inventory management systems,PhD in AI,0-1 years,455988,1393802,INR,false,Content Creation;SAP;PowerBI,Content Creation;SAP;PowerBI,Junior,Health Insurance,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
27,Sales Executive,Indian Multinational,Gurgaon,Remote,Part-time,Manufacturing,Human Resources,Drive sales in manufacturing sector and build client relationships. Understand manufacturing processes and provide technical sales support,B.Sc in IT,2-3 years,300164,521262,INR,true,Recruitment;SQL;Python,Recruitment;SQL;Python,Junior,Health Insurance,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
28,QA Engineer,MNC,Hyderabad,Remote,Contract,IT,Development,Ensure software quality through comprehensive testing strategies. Develop automated test suites and perform manual testing,M.Tech in CS,0-1 years,428934,685303,INR,true,SQL;Kubernetes;Linux,SQL;Kubernetes;Linux,Junior,Bonuses;Training;Work from Home,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
29,QA Engineer,Indian Multinational,Delhi,Remote,Full-time,Retail,Cloud Computing,Lead quality assurance for retail cloud applications. Implement testing frameworks and ensure product reliability,MCA,8-12 years,575199,692954,INR,true,Excel;SAP;React,Excel;SAP;React,Junior,Work from Home;Training;PF,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
30,Software Engineer,MNC,Noida,Hybrid,Part-time,Healthcare,Human Resources,Develop healthcare software with focus on HR systems. Ensure HIPAA compliance and data security in healthcare applications,B.Tech in CS,3-5 years,816690,1596417,INR,false,Excel;Content Creation;Linux,Excel;Content Creation;Linux,Leadership,Bonuses,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
31,Product Manager,MNC,Chennai,Onsite,Part-time,Finance,Human Resources,Manage financial products and HR technology solutions. Lead product roadmap and feature development for fintech applications,MBA in HR,3-5 years,461978,1639273,INR,false,Content Creation;Digital Marketing;Recruitment,Content Creation;Digital Marketing;Recruitment,Junior,PF;Training;Bonuses,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
32,Software Engineer,Indian Multinational,Pune,Remote,Contract,Retail,Development,Build e-commerce platforms and retail management systems. Implement shopping cart functionality and payment processing,B.Sc in IT,2-3 years,322366,818437,INR,true,SEO;Docker;Java,SEO;Docker;Java,Mid-Level,Training,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
33,Content Writer,Indian Multinational,Bengaluru,Hybrid,Part-time,IT,Analytics,Create technical content and documentation for IT analytics platforms. Write user guides and API documentation,B.Sc in IT,2-3 years,991963,1935923,INR,false,Recruitment;SEO;Content Creation,Recruitment;SEO;Content Creation,Mid-Level,Bonuses,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
34,Frontend Developer,Indian Multinational,Hyderabad,Remote,Full-time,Manufacturing,Strategy,Develop frontend applications for manufacturing strategy tools. Create dashboards for production planning and resource optimization,PhD in AI,0-1 years,903385,1259824,INR,true,Kubernetes;Excel;DevOps,Kubernetes;Excel;DevOps,Leadership,Work from Home,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
35,Software Engineer,MNC,Gurgaon,Onsite,Contract,Retail,Human Resources,Develop HR software for retail industry. Create employee management systems and payroll applications,BBA,0-1 years,691708,1122538,INR,false,Recruitment;Java;SQL,Recruitment;Java;SQL,Fresher Friendly,PF,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
36,DevOps Engineer,SME,Kolkata,Hybrid,Part-time,Retail,Support,Implement DevOps practices for retail applications. Manage deployment pipelines and infrastructure automation,PhD in AI,2-3 years,451185,1416518,INR,false,Recruitment;Content Creation;SAP,Recruitment;Content Creation;SAP,Mid-Level,PF;Health Insurance,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
37,AI Engineer,SME,Noida,Hybrid,Part-time,Manufacturing,Support,Develop AI solutions for manufacturing optimization. Implement machine learning models for predictive maintenance and quality control,PhD in AI,3-5 years,824285,1780022,INR,false,Linux;Node.js;JavaScript,Linux;Node.js;JavaScript,Fresher Friendly,Bonuses;Work from Home;PF,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
38,Product Manager,Indian Multinational,Bengaluru,Remote,Part-time,HR,Development,Lead HR product development and innovation initiatives. Manage product lifecycle for HR technology solutions,M.Tech in CS,1-2 years,425435,1610973,INR,true,Python;Excel;Docker,Python;Excel;Docker,Mid-Level,Training,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
39,Operations Manager,MNC,Chennai,Hybrid,Full-time,IT,Operations,Oversee IT operations and infrastructure management. Ensure system reliability and optimize operational processes,MCA,1-2 years,979809,1101858,INR,false,SAP;Excel;Kubernetes,SAP;Excel;Kubernetes,Senior,Work from Home;PF,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
40,Cybersecurity Specialist,Indian Multinational,Mumbai,Hybrid,Full-time,Finance,Support,Implement cybersecurity measures for financial systems. Monitor security threats and develop incident response protocols,MBA in HR,0-1 years,479659,745745,INR,false,Node.js;AWS;Java,Node.js;AWS;Java,Leadership,Health Insurance;Work from Home;Training,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
41,Marketing Manager,SME,Pune,Remote,Full-time,Marketing,Cloud Computing,Lead digital marketing initiatives and cloud-based marketing solutions. Develop marketing automation and analytics strategies,M.Tech in CS,2-3 years,206729,340675,INR,true,Azure;SAP;JavaScript,Azure;SAP;JavaScript,Senior,Health Insurance;Work from Home,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
42,Backend Developer,Indian Multinational,Chennai,Remote,Full-time,HR,Analytics,Build backend systems for HR analytics platforms. Develop APIs for HR data processing and reporting,PhD in AI,3-5 years,360348,1443468,INR,true,SQL;TensorFlow;Content Creation,SQL;TensorFlow;Content Creation,Leadership,Training,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
43,HR Executive,MNC,Pune,Hybrid,Part-time,Manufacturing,Human Resources,Manage HR operations in manufacturing environment. Handle employee relations and compliance with labor regulations,B.Com,5-8 years,318888,1455955,INR,false,Python;PowerBI;Java,Python;PowerBI;Java,Junior,Training;Work from Home;Bonuses,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
44,Software Engineer,Startup,Chennai,Remote,Full-time,Manufacturing,Analytics,Develop analytics software for manufacturing processes. Create data pipelines and reporting systems for production optimization,B.Com,0-1 years,884636,1782177,INR,true,DevOps;TensorFlow;SAP,DevOps;TensorFlow;SAP,Junior,Work from Home,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
45,Operations Manager,Startup,Chennai,Hybrid,Contract,HR,Development,Lead operational excellence and process improvement initiatives. Manage cross-functional teams and optimize workflow efficiency,B.Tech in CS,2-3 years,391805,1297051,INR,false,Linux;Java;Node.js,Linux;Java;Node.js,Mid-Level,PF;Health Insurance;Work from Home,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
46,System Administrator,MNC,Delhi,Onsite,Full-time,HR,Strategy,Manage IT infrastructure and system administration for HR systems. Ensure system security and optimal performance,BBA,3-5 years,983890,1427997,INR,false,AWS;Docker;Excel,AWS;Docker;Excel,Junior,PF,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
47,Finance Analyst,MNC,Noida,Remote,Part-time,HR,Development,Analyze financial data and provide insights for HR budget planning. Create financial models and reports for HR operations,BBA,5-8 years,416797,949178,INR,true,Java;PowerBI;Content Creation,Java;PowerBI;Content Creation,Senior,Health Insurance,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
48,AI Engineer,SME,Chennai,Remote,Part-time,Healthcare,Operations,Develop AI solutions for healthcare operations optimization. Implement machine learning models for patient care improvement,PhD in AI,5-8 years,462166,888132,INR,true,Recruitment;SAP;Excel,Recruitment;SAP;Excel,Fresher Friendly,Work from Home;Health Insurance,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
49,Backend Developer,MNC,Delhi,Onsite,Contract,Retail,Support,Develop backend infrastructure for retail support systems. Implement customer service platforms and inventory management APIs,B.Com,3-5 years,423712,1149423,INR,false,Linux;React;Recruitment,Linux;React;Recruitment,Mid-Level,Work from Home;Bonuses;Health Insurance,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
50,Software Engineer,MNC,Noida,Hybrid,Contract,Retail,Operations,Build retail operations software and manage system integrations. Develop point-of-sale systems and retail analytics platforms,M.Tech in CS,0-1 years,483000,935435,INR,false,SAP;Java;JavaScript,SAP;Java;JavaScript,Senior,Training;Bonuses;Health Insurance,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
